biggest_subj_num,number,task,rp,soa,list
8,0,cd,25,50,1
8,0,cd,25,50,2
16,0,cd,25,50,3
16,0,cd,25,50,4
8,0,cd,25,50,5
8,0,cd,25,50,6
8,0,cd,25,50,7
8,0,cd,25,50,8
8,0,cd,25,250,1
8,0,cd,25,250,2
8,0,cd,25,250,3
8,0,cd,25,250,4
8,0,cd,25,250,5
8,0,cd,25,250,6
8,0,cd,25,250,7
8,0,cd,25,250,8
1,0,cd,25,500,1
0,0,cd,25,500,2
0,0,cd,25,500,3
0,0,cd,25,500,4
0,0,cd,25,500,5
0,0,cd,25,500,6
0,0,cd,25,500,7
0,0,cd,25,500,8
0,0,cd,25,1000,1
0,0,cd,25,1000,2
0,0,cd,25,1000,3
0,0,cd,25,1000,4
0,0,cd,25,1000,5
0,0,cd,25,1000,6
0,0,cd,25,1000,7
0,0,cd,25,1000,8
16,0,cd,50,50,1
16,0,cd,50,50,2
21,0,cd,50,50,3
16,0,cd,50,50,4
16,0,cd,50,250,1
16,0,cd,50,250,2
16,0,cd,50,250,3
16,0,cd,50,250,4
16,0,cd,50,500,1
16,0,cd,50,500,2
16,0,cd,50,500,3
16,0,cd,50,500,4
16,0,cd,50,1000,1
16,0,cd,50,1000,2
16,0,cd,50,1000,3
16,0,cd,50,1000,4
12,0,ad,25,50,1
12,0,ad,25,50,2
13,0,ad,25,50,3
8,0,ad,25,50,4
107,0,ad,25,50,5
8,0,ad,25,50,6
8,0,ad,25,50,7
106,0,ad,25,50,8
16,0,ad,25,250,1
15,0,ad,25,250,2
12,0,ad,25,250,3
12,0,ad,25,250,4
12,0,ad,25,250,5
12,0,ad,25,250,6
12,0,ad,25,250,7
13,0,ad,25,250,8
16,0,ad,25,500,1
101,0,ad,25,500,2
9,0,ad,25,500,3
8,0,ad,25,500,4
8,0,ad,25,500,5
8,0,ad,25,500,6
8,0,ad,25,500,7
8,0,ad,25,500,8
8,0,ad,25,1000,1
8,0,ad,25,1000,2
8,0,ad,25,1000,3
8,0,ad,25,1000,4
8,0,ad,25,1000,5
8,0,ad,25,1000,6
8,0,ad,25,1000,7
8,0,ad,25,1000,8
16,0,ad,50,50,1
20,0,ad,50,50,2
20,0,ad,50,50,3
20,0,ad,50,50,4
16,0,ad,50,250,1
109,0,ad,50,250,2
16,0,ad,50,250,3
16,0,ad,50,250,4
19,0,ad,50,500,1
16,0,ad,50,500,2
108,0,ad,50,500,3
16,0,ad,50,500,4
110,0,ad,50,1000,1
17,0,ad,50,1000,2
105,0,ad,50,1000,3
18,0,ad,50,1000,4
